Configuration,Rule Source,Sarif Identifier,Alerts
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unreachable-statement,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unsafe-cyclic-import,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unsafe-deserialization,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unused-exception-object,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unused-global-variable,9
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unused-import,40
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unused-local-variable,4
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/unused-loop-variable,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/url-redirection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/use-of-apply,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/use-of-exit-or-quit,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/use-of-input,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/useless-except,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/weak-crypto-key,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/weak-cryptographic-algorithm,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/weak-sensitive-data-hashing,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/xml-bomb,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/xpath-injection,0
/language:python,codeql/python-queries (1.8.2+6a95251206538e6a7a9c9dc41feb78ce77bdda78),py/xxe,0
